,AMAR,Homme_Homme,Femme_Femme,Homme_Femme,TOTAL,Pacs de personnes de sexe différent,Pacs de personnes de même sexe,Ensemble des Pacs,Ensemble des mariages de l'année,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total mariage
0,1946,,,,0.0,,,,516882.0,27260.0,32425.0,36387.0,62285.0,33341.0,55776.0,43187.0,48133.0,53865.0,52922.0,36648.0,34653.0,516882.0
1,1947,,,,0.0,,,,427113.0,22627.0,26632.0,23632.0,62296.0,27973.0,41026.0,37695.0,39301.0,43481.0,43659.0,30187.0,28604.0,427113.0
2,1948,,,,0.0,,,,370769.0,22179.0,21091.0,23226.0,51358.0,21962.0,35083.0,36842.0,30497.0,37675.0,39435.0,24611.0,26810.0,370769.0
3,1949,,,,0.0,,,,341091.0,18568.0,23409.0,17038.0,45649.0,19004.0,32770.0,33512.0,29181.0,34261.0,37458.0,22765.0,27476.0,341091.0
4,1950,,,,0.0,,,,331091.0,18002.0,21284.0,15813.0,46870.0,17569.0,30083.0,32933.0,28629.0,36509.0,33810.0,21015.0,28574.0,331091.0
5,1951,,,,0.0,,,,319651.0,17540.0,16941.0,26258.0,37842.0,16662.0,32612.0,29487.0,28235.0,33855.0,31742.0,20905.0,27572.0,319651.0
6,1952,,,,0.0,,,,313892.0,16018.0,20709.0,16911.0,40564.0,19047.0,29031.0,29624.0,31030.0,31210.0,33576.0,21880.0,24292.0,313892.0
7,1953,,,,0.0,,,,308426.0,17237.0,17604.0,14413.0,42887.0,17689.0,29677.0,29944.0,29213.0,29066.0,33664.0,22112.0,24920.0,308426.0
8,1954,,,,0.0,,,,314453.0,16804.0,20378.0,15553.0,39723.0,17654.0,30928.0,35528.0,28037.0,30001.0,33372.0,21217.0,25258.0,314453.0
9,1955,,,,0.0,,,,312703.0,17352.0,19429.0,15289.0,43716.0,17090.0,29102.0,35341.0,28641.0,30001.0,31636.0,19588.0,25518.0,312703.0
10,1956,,,,0.0,,,,293450.0,16716.0,17309.0,16404.0,40169.0,16609.0,30005.0,28768.0,26218.0,29061.0,26029.0,18120.0,28042.0,293450.0
